,Consumed energy [Wh]
287,4770.9414
288,13898.749
289,14593.953
290,15886.188
291,14563.202
292,15615.236
293,15546.374
294,15310.655
295,14684.807
296,14377.81
297,14851.648
298,14720.964
299,14723.806
300,4298.57
301,5728.073
302,5537.594
303,5817.001
304,6307.647
305,7389.025
306,5337.891
307,5352.7617
308,4938.837
309,4982.9395
310,5217.145
311,4404.6514
312,14246.893
313,14130.677
314,16523.99
315,15197.839
316,15612.353
317,16045.792
318,15752.544
319,15404.079
320,15210.532
321,14428.272
322,15314.746
323,15618.039
324,4961.6816
325,5454.4927
326,6166.4756
327,5451.47
328,7408.969
329,7003.8813
330,5020.097
331,5198.0005
332,5525.2046
333,5058.6284
334,4941.0225
335,4611.6143
336,14879.421
337,14851.246
338,16730.209
339,14733.844
340,16256.1045
341,16104.439
342,16126.97
343,15638.239
344,16235.771
345,14935.067
346,15744.644
347,16178.548
348,4972.449
349,6766.1177
350,7141.4365
351,5743.2144
352,7843.522
353,8486.341
354,5796.972
355,6014.364
356,7305.9604
357,5350.88
358,6042.06
359,5597.2695
360,12950.265
361,14695.106
362,13947.572
363,14408.712
364,14463.355
365,15927.175
366,15728.081
367,14978.499
368,14183.534
369,14169.735
370,13219.484
371,14542.102
372,3998.4143
373,6141.4155
374,5706.0015
375,5222.8286
376,6114.2407
377,7486.6025
378,5602.5537
379,5440.4585
380,5403.1377
381,4766.2695
382,5167.339
383,4827.9536
384,15111.891
385,13609.856
386,15496.628
387,14425.19
388,16124.049
389,14330.722
390,14833.061
391,14827.938
392,13258.945
393,15131.385
394,14139.221
395,13384.758
396,4342.721
397,5010.473
398,5346.617
399,5979.9604
400,6584.318
401,6905.6562
402,5050.3706
403,4479.3413
404,5190.3857
405,4834.1685
406,5011.968
407,4706.5796
408,14389.319
409,14292.772
410,14926.39
411,14412.6875
412,16072.762
413,15567.066
414,15109.237
415,15050.27
416,14520.346
417,14990.915
418,13297.984
419,13821.986
420,3809.0186
421,5016.2896
422,4759.162
423,4712.6714
424,6544.0317
425,6249.451
426,4051.7595
427,4236.9565
428,4424.822
429,4511.016
430,3643.116
431,3356.1948
432,13365.36
433,13907.332
434,14234.519
435,14171.673
436,15213.063
437,14794.342
438,13696.176
439,14754.279
440,13217.441
441,14585.229
442,12949.904
443,12216.546
444,3599.1526
445,5093.935
446,5029.696
447,3694.094
448,5898.577
449,5394.193
450,3927.4458
451,4179.563
452,4276.283
453,4089.7644
454,3879.8196
455,3417.663
456,15163.4795
457,15296.085
458,15937.506
459,15464.991
460,16039.301
461,16506.963
462,17216.777
463,16155.916
464,15786.455
465,15662.172
466,15216.57
467,16205.257
468,6277.9146
469,7757.783
470,7477.7466
471,6335.982
472,8918.175
473,8512.368
474,6988.051
475,6919.4434
476,7842.2075
477,6427.3833
478,6638.8384
479,6504.663
480,14563.93
481,14717.101
482,16065.937
483,13922.266
484,16046.447
485,14822.918
486,15580.34
487,14680.01
488,14145.819
489,15129.33
490,14566.1045
491,14590.985
492,4898.75
493,5681.561
494,4870.628
495,5369.494
496,6929.7847
497,6829.513
498,5517.894
499,5329.5034
500,4767.566
501,5601.459
502,4047.73
503,4107.7725
504,15067.971
505,14299.183
506,15158.542
507,16058.355
508,16083.069
509,16540.248
510,15985.211
511,15933.146
512,15055.677
513,15653.636
514,14146.291
515,14645.293
516,4569.387
517,6058.541
518,4984.0415
519,6356.971
520,6774.557
521,8160.011
522,5524.772
523,5753.756
524,5366.9624
525,5749.9966
526,4165.1846
527,4298.7764
528,13990.075
529,14735.278
530,15919.653
531,13733.573
532,16098.846
533,15790.583
534,14996.084
535,15857.0
536,15403.947
537,14428.408
538,14066.911
539,13819.311
540,4514.663
541,4992.8022
542,5253.2114
543,5488.219
544,6712.433
545,7217.6885
546,4404.213
547,5040.6914
548,4746.592
549,5244.4126
550,4243.9683
551,3565.9097
552,12997.426
553,14177.433
554,14862.094
555,14884.671
556,14793.6455
557,15536.664
558,15038.097
559,14348.589
560,13383.891
561,14161.986
562,14344.656
563,13946.874
564,3607.307
565,4953.492
566,4922.555
567,4487.9995
568,5906.198
569,7033.012
570,4153.8765
571,4698.147
572,4787.877
573,4268.5137
574,3878.2776
575,3469.1863
576,14875.282
577,14777.812
578,15989.394
579,14868.594
580,16306.446
581,16378.832
582,15868.032
583,16216.615
584,15521.303
585,15408.089
586,14595.045
587,14716.859
588,5916.175
589,6827.6997
590,6575.2144
591,6105.1562
592,8387.321
593,7961.8325
594,6535.9126
595,6381.5596
596,6713.515
597,6251.782
598,5696.8604
599,5533.3535
600,15072.603
601,14295.337
602,15028.314
603,15074.329
604,15799.66
605,14991.643
606,16461.125
607,14822.454
608,13976.272
609,15557.813
610,13928.578
611,15225.371
612,4147.872
613,5670.2993
614,5125.0977
615,5269.595
616,6522.422
617,6595.491
618,4864.363
619,4868.644
620,4823.065
621,4568.2246
622,4381.695
623,4116.6416
624,13853.772
625,13087.461
626,13629.756
627,16014.092
628,14786.891
629,14937.64
630,15095.498
631,14156.342
632,12319.291
633,14669.362
634,12896.814
635,13284.218
636,3502.5037
637,4301.462
638,4281.005
639,4822.122
640,5419.788
641,5951.5474
642,3995.246
643,3937.169
644,3849.398
645,4097.8325
646,3503.413
647,3314.6587
648,15777.822
649,15120.002
650,16259.366
651,14861.263
652,16846.566
653,16203.898
654,16535.371
655,16191.354
656,15947.189
657,15908.345
658,15162.323
659,15441.041
660,6084.09
661,6479.972
662,7711.242
663,7253.2197
664,9048.061
665,8881.06
666,6335.807
667,6176.378
668,7959.2026
669,5992.195
670,6887.036
671,6524.9136
672,15391.984
673,14056.597
674,15059.871
675,14652.199
676,15372.727
677,14800.801
678,16378.953
679,15134.752
680,13875.683
681,15061.237
682,14148.469
683,15149.096
684,3959.0356
685,5528.857
686,4341.0225
687,5603.374
688,5741.641
689,6349.7935
690,5337.9985
691,4305.809
692,4171.7104
693,4822.849
694,4110.667
695,4594.102
696,14914.863
697,14431.04
698,14992.002
699,14378.679
700,16074.347
701,15092.67
702,16719.082
703,14800.307
704,15099.911
705,15467.391
706,14498.106
707,15961.534
708,5409.954
709,6360.222
710,5633.723
711,5391.457
712,7420.581
713,7269.219
714,6255.916
715,5410.5586
716,6065.7583
717,5772.9463
718,4966.522
719,5421.7227
720,14748.746
721,14283.49
722,16075.086
723,15022.355
724,16234.483
725,16662.252
726,15497.877
727,15111.74
728,15751.291
729,15495.841
730,15458.43
731,15031.68
732,4733.234
733,6313.7812
734,5799.5234
735,5809.772
736,6923.8164
737,7625.1606
738,6057.4624
739,5441.247
740,5511.9814
741,5671.412
742,4961.9243
743,5106.986
744,14278.42
745,14949.1455
746,15541.461
747,14577.173
748,15521.092
749,15177.427
750,15687.812
751,15585.22
752,14050.678
753,14756.476
754,14295.454
755,14358.68
756,5115.2573
757,6500.879
758,6200.177
759,6092.0806
760,7446.8887
761,8954.262
762,6165.995
763,6252.9526
764,7423.9277
765,5569.7573
766,5748.794
767,5760.7783
768,14133.894
769,14393.192
770,14878.787
771,14528.666
772,15588.34
773,15450.688
774,15082.657
775,15293.249
776,14233.777
777,14867.442
778,13203.822
779,14023.707
780,3576.7944
781,5208.4507
782,5118.169
783,6079.489
784,6087.0225
785,6938.599
786,4568.0244
787,4640.679
788,4822.7427
789,4112.147
790,4426.448
791,4112.1064
792,15552.699
793,15141.257
794,15940.098
795,15770.102
796,16006.011
797,16111.665
798,17295.166
799,16601.502
800,15211.919
801,15708.7705
802,15211.897
803,15709.898
804,6404.057
805,6296.4033
806,6695.6943
807,8204.451
808,8418.239
809,8691.104
810,6873.5854
811,6636.141
812,6543.33
813,6461.8794
814,5991.984
815,6011.8574
816,14241.634
817,13685.134
818,15551.33
819,14939.915
820,15925.3955
821,15492.157
822,14684.211
823,14519.441
824,14032.512
825,14916.668
826,14517.34
827,13727.257
828,3302.3909
829,4879.644
830,4836.216
831,4222.501
832,5695.023
833,6158.978
834,3820.8118
835,3908.4033
836,4260.425
837,4083.016
838,3827.2449
839,3438.2356
840,14012.784
841,14264.543
842,15333.946
843,15215.459
844,15483.262
845,14886.635
846,15810.279
847,14379.413
848,13865.514
849,14490.086
850,14499.046
851,15213.665
852,3424.4492
853,4838.2144
854,4369.5815
855,4486.2876
856,5910.2593
857,5369.4155
858,3825.2441
859,3386.7844
860,3553.6313
861,4361.9624
862,3540.1921
863,3341.2246
864,13112.669
865,13682.534
866,12742.357
867,13380.0
868,14360.0
869,13264.084
870,14462.041
871,13732.111
872,11588.109
873,13847.044
874,11592.375
875,12888.123
876,3084.0488
877,4215.449
878,3691.6318
879,3883.352
880,4945.1284
881,5241.7876
882,3610.1558
883,3500.1245
884,3586.8965
885,3505.64
886,3255.248
887,3079.3828
888,13079.709
889,14578.941
890,14580.429
891,15537.882
892,14837.775
893,15654.435
894,15371.356
895,14867.066
896,14092.974
897,13991.025
898,13930.461
899,14479.189
900,3764.0005
901,5224.1533
902,4854.3438
903,6122.992
904,5938.0312
905,6680.4004
906,5182.0103
907,4495.183
908,4609.2
909,4248.9604
910,4425.8057
911,4534.5107
912,14071.472
913,14813.016
914,15278.443
915,14352.582
916,15316.893
917,14872.909
918,15661.482
919,15503.406
920,13897.763
921,14171.699
922,13901.75
923,14350.509
924,4071.888
925,5958.322
926,6294.8203
927,5713.4585
928,6395.6577
929,7695.583
930,5344.3955
931,5665.27
932,5730.954
933,4412.828
934,5247.6045
935,4916.687
936,14721.515
937,14943.764
938,15505.726
939,15206.462
940,15597.008
941,15929.939
942,16888.213
943,15992.33
944,15375.342
945,14655.167
946,14822.421
947,15989.064
948,4256.939
949,6482.011
950,5700.2847
951,5742.13
952,6320.0386
953,7859.364
954,5618.304
955,5301.2603
956,5593.491
957,5302.3438
958,4878.0557
959,5238.7046
960,14598.837
961,14611.772
962,15372.778
963,15091.303
964,15518.514
965,16363.133
966,16589.287
967,15250.123
968,15348.478
969,15524.176
970,14895.258
971,15913.229
972,4823.5293
973,6117.782
974,5729.3237
975,5679.1255
976,6923.722
977,7995.682
978,5611.5513
979,5264.668
980,5926.8203
981,5742.9346
982,5167.626
983,5292.297
984,13140.407
985,14757.955
986,15302.331
987,14244.388
988,14748.6045
989,15060.496
990,15546.063
991,14841.137
992,13723.897
993,13873.057
994,14193.295
995,14803.081
996,3539.57
997,5660.7646
998,4756.783
999,5192.8003
1000,5589.487
1001,6108.4404
1002,5027.482
1003,4421.8257
1004,4108.177
1005,4347.1265
1006,4193.061
1007,4306.1543
1008,12268.798
1009,14173.436
1010,13919.121
1011,12809.225
1012,14079.754
1013,14695.14
1014,13742.287
1015,14241.717
1016,13207.228
1017,13390.312
1018,12121.037
1019,13147.541
1020,2437.262
1021,4522.5806
1022,3587.2295
1023,3182.1023
1024,4358.4907
1025,5131.338
1026,3267.758
1027,3634.3127
1028,3350.0881
1029,3041.3801
1030,2665.3813
1031,2773.642
1032,12409.95
1033,14583.822
1034,13506.779
1035,13249.651
1036,14568.886
1037,15253.493
1038,14058.035
1039,14942.017
1040,13734.342
1041,13987.785
1042,11735.582
1043,12364.816
1044,3313.5244
1045,5071.509
1046,4500.293
1047,4580.395
1048,5439.8447
1049,6160.0317
1050,4303.6294
1051,4416.3623
1052,4136.0967
1053,3942.552
1054,3966.5662
1055,3499.485
1056,13015.521
1057,13615.769
1058,14378.647
1059,13836.956
1060,15021.7295
1061,14823.373
1062,13568.616
1063,13641.925
1064,13202.391
1065,14290.216
1066,12834.958
1067,12849.051
1068,2758.196
1069,4180.081
1070,4183.1113
1071,3433.6892
1072,5166.2803
1073,4847.369
1074,3146.6353
1075,3330.2878
1076,3598.3452
1077,3114.3428
1078,3094.3875
1079,2846.3113
1080,12708.655
1081,14702.19
1082,15414.703
1083,15110.922
1084,14293.477
1085,16287.612
1086,15434.593
1087,15255.904
1088,14506.326
1089,13528.525
1090,14773.661
1091,14993.3955
1092,4181.269
1093,5407.137
1094,5793.9253
1095,5349.662
1096,6457.3
1097,6758.1147
1098,4799.102
1099,4682.907
1100,5259.35
1101,4480.563
1102,5131.247
1103,4899.6074
1104,13454.698
1105,14607.784
1106,16007.872
1107,14416.704
1108,15116.614
1109,14667.275
1110,15554.373
1111,14725.626
1112,13581.996
1113,13886.634
1114,14705.374
1115,14666.747
1116,3697.3022
1117,5793.6694
1118,6118.4004
1119,5181.6816
1120,5986.411
1121,6800.4185
1122,5286.4966
1123,4787.7686
1124,5276.6797
1125,4043.4587
1126,5248.2036
1127,5221.2686
1128,12440.986
1129,13686.817
1130,13395.679
1131,13546.64
1132,14464.694
1133,13830.9375
1134,13645.665
1135,13651.517
1136,12233.351
1137,13529.494
1138,11441.218
1139,12411.449
1140,1975.027
1141,3664.7551
1142,2835.2932
1143,3281.1865
1144,4116.678
1145,4403.9546
1146,2376.7202
1147,2735.7139
1148,2760.7874
1149,2533.0374
1150,2191.452
1151,2089.6846
1152,14869.852
1153,14021.195
1154,16112.6875
1155,15509.346
1156,15864.456
1157,16203.943
1158,16127.625
1159,15433.308
1160,15644.744
1161,14813.009
1162,15372.349
1163,15987.336
1164,5361.2573
1165,5651.396
1166,5904.5005
1167,7479.477
1168,7409.081
1169,8115.2104
1170,6132.1064
1171,5765.8086
1172,5876.2344
1173,5543.027
1174,5541.0464
1175,5285.0894
1176,13855.393
1177,14395.805
1178,15559.818
1179,14896.507
1180,15623.142
1181,16541.307
1182,15174.56
1183,16071.079
1184,15059.526
1185,14637.56
1186,13878.552
1187,13959.68
1188,5051.111
1189,5355.375
1190,6287.5347
1191,6023.6235
1192,7273.919
1193,7942.3833
1194,5511.9287
1195,5614.434
1196,6244.5854
1197,4973.0063
1198,5462.4395
1199,5290.3804
1200,13584.999
1201,14342.422
1202,15290.88
1203,13920.038
1204,15008.662
1205,15085.9
1206,15622.093
1207,14348.441
1208,14246.755
1209,14154.95
1210,14624.499
1211,15243.257
1212,3621.8318
1213,5217.839
1214,4727.009
1215,5030.2266
1216,5959.082
1217,6773.566
1218,4466.8833
1219,4366.9473
1220,5189.2793
1221,4071.205
1222,4316.5864
1223,4392.775
1224,12457.829
1225,14509.961
1226,14268.565
1227,14105.25
1228,14357.752
1229,15817.038
1230,14999.244
1231,14381.51
1232,14528.347
1233,13691.149
1234,13462.633
1235,14960.671
1236,3282.2336
1237,5131.1484
1238,4904.067
1239,4815.3394
1240,5351.4766
1241,6883.771
1242,4469.487
1243,4555.372
1244,5024.3154
1245,3691.8853
1246,4179.931
1247,4281.0146
1248,14221.14
1249,15358.452
1250,15812.292
1251,15174.521
1252,15373.105
1253,16440.773
1254,16920.443
1255,15917.382
1256,16096.024
1257,14618.004
1258,15098.554
1259,16496.195
1260,5046.182
1261,6473.326
1262,6174.155
1263,6760.484
1264,6838.428
1265,7435.208
1266,6474.597
1267,5743.881
1268,5436.76
1269,5494.108
1270,5513.899
1271,5950.753
1272,13362.835
1273,14456.219
1274,14646.4
1275,13899.958
1276,15044.716
1277,14457.058
1278,14605.542
1279,14270.086
1280,13159.101
1281,14350.788
1282,13232.7295
1283,13474.007
1284,2897.672
1285,4576.011
1286,4163.737
1287,4483.049
1288,4962.124
1289,5995.7915
1290,3617.6587
1291,3674.07
1292,3605.6135
1293,3838.3154
1294,3488.1416
1295,3117.5889
1296,14148.766
1297,14891.802
1298,15114.135
1299,14904.776
1300,15601.703
1301,16699.043
1302,16028.458
1303,15972.527
1304,15909.332
1305,14577.585
1306,14213.849
1307,15393.561
1308,5582.86
1309,6574.614
1310,6492.2354
1311,6039.488
1312,7553.6367
1313,7990.178
1314,6460.7607
1315,5842.7505
1316,6791.789
1317,5877.8667
1318,6237.228
1319,6226.2827
1320,15475.614
1321,14233.861
1322,15996.439
1323,15319.387
1324,16627.652
1325,15867.789
1326,16093.067
1327,15286.544
1328,15481.481
1329,15510.852
1330,14736.318
1331,15462.765
1332,5909.4873
1333,6587.6875
1334,7905.899
1335,6002.5986
1336,8360.602
1337,7919.3647
1338,6467.678
1339,6080.989
1340,7363.5933
1341,5657.4043
1342,6696.8193
1343,6350.1616
1344,13599.4375
1345,14319.497
1346,15069.277
1347,13008.014
1348,14943.699
1349,14375.607
1350,14609.632
1351,15142.621
1352,13455.865
1353,13801.729
1354,12846.058
1355,13540.685
1356,3759.909
1357,4726.1606
1358,4368.658
1359,4505.201
1360,5712.811
1361,6267.165
1362,4248.1406
1363,4397.64
1364,4352.8853
1365,4234.8813
1366,3727.0354
1367,3669.924
1368,14383.927
1369,15129.093
1370,15739.902
1371,14729.691
1372,15913.724
1373,16274.39
1374,16047.651
1375,15811.155
1376,15525.817
1377,15020.2295
1378,14999.11
1379,15044.785
1380,4444.922
1381,6003.2446
1382,6383.2056
1383,5613.8604
1384,6962.822
1385,7488.8726
1386,5103.8496
1387,5102.1675
1388,5472.52
1389,5208.5293
1390,5431.0522
1391,4730.5854
1392,14320.448
1393,15230.296
1394,15273.259
1395,14038.457
1396,15331.79
1397,16125.729
1398,16812.44
1399,15659.607
1400,15866.443
1401,14796.809
1402,14685.491
1403,15968.617
1404,5519.2446
1405,6619.3813
1406,6053.4316
1407,6448.8667
1408,7212.657
1409,8098.05
1410,6802.7236
1411,6360.0054
1412,6357.7607
1413,5645.6504
1414,5534.7456
1415,6013.8047
1416,13890.739
1417,14395.048
1418,14428.512
1419,12768.282
1420,15523.929
1421,13782.51
1422,14367.637
1423,14316.722
1424,13511.89
1425,14249.562
1426,12932.728
1427,12862.39
1428,3599.405
1429,5103.773
1430,4799.36
1431,4819.646
1432,5946.197
1433,6050.2383
1434,4273.81
1435,4370.865
1436,4626.02
1437,3942.4243
1438,4174.8984
1439,3660.8198
1440,13590.141
1441,13925.349
1442,13891.596
1443,14912.165
1444,14894.414
1445,14339.82
1446,15367.462
1447,14921.66
1448,12207.624
1449,14905.952
1450,12438.733
1451,13310.933
1452,3660.5447
1453,5141.6045
1454,5243.3286
1455,4229.2695
1456,6118.749
1457,6148.0625
1458,4329.28
1459,4482.557
1460,4767.483
1461,3961.2844
1462,4241.2886
1463,3885.8735
1464,14092.376
1465,14452.625
1466,14726.282
1467,13140.583
1468,15449.25
1469,15863.134
1470,14720.377
1471,14897.019
1472,14886.535
1473,14944.287
1474,13213.684
1475,13804.353
1476,3194.237
1477,5334.3643
1478,4235.368
1479,3995.3052
1480,5682.238
1481,6220.5923
1482,3903.0923
1483,3989.8884
1484,4344.1274
1485,4035.8904
1486,3590.8262
1487,3418.7144
1488,14421.349
1489,14231.797
1490,15158.162
1491,14449.512
1492,15996.98
1493,14093.268
1494,14987.002
1495,14553.888
1496,13514.426
1497,14642.841
1498,13748.746
1499,13723.233
1500,3773.8206
1501,4795.5244
1502,4693.0156
1503,5129.948
1504,6273.602
1505,6422.477
1506,3983.5977
1507,4106.547
1508,4662.062
1509,4417.2207
1510,3899.1177
1511,3492.9873
1512,13167.913
1513,14822.19
1514,15311.325
1515,14809.659
1516,14776.692
1517,15372.502
1518,15525.959
1519,15836.502
1520,13873.514
1521,13931.691
1522,13707.311
1523,14183.036
1524,3825.9143
1525,5754.63
1526,5194.465
1527,5447.916
1528,6037.063
1529,6686.199
1530,4850.967
1531,5197.771
1532,4351.1084
1533,4665.516
1534,4328.8257
1535,3786.071
1536,13544.476
1537,14131.676
1538,14433.233
1539,13914.326
1540,15334.932
1541,15591.21
1542,14532.222
1543,14639.18
1544,14459.928
1545,14267.564
1546,12916.044
1547,13787.971
1548,3555.3726
1549,4810.8286
1550,4301.959
1551,4327.217
1552,5985.8735
1553,5656.4814
1554,3918.879
1555,3827.4949
1556,4050.2751
1557,4170.813
1558,3626.0725
1559,3321.6455
1560,14663.585
1561,14807.156
1562,15920.744
1563,15031.132
1564,16072.424
1565,15512.343
1566,16102.089
1567,15170.588
1568,14555.82
1569,15425.613
1570,14952.105
1571,15077.354
1572,4818.0073
1573,6151.4307
1574,6232.1846
1575,6161.18
1576,7412.032
1577,8138.469
1578,5621.5273
1579,5776.848
1580,6391.0386
1581,5282.267
1582,5524.352
1583,5081.3833
1584,14508.438
1585,14156.46
1586,15770.35
1587,15423.547
1588,15918.476
1589,16329.2295
1590,15522.902
1591,15730.464
1592,14844.498
1593,15002.699
1594,14346.586
1595,14461.358
1596,5077.692
1597,5688.583
1598,5311.7285
1599,5960.64
1600,7184.924
1601,7598.3174
1602,5582.5786
1603,5527.8794
1604,5669.744
1605,5553.1777
1606,4722.385
1607,4755.534
1608,13862.125
1609,14745.555
1610,15282.379
1611,14890.211
1612,15684.594
1613,15836.529
1614,15394.417
1615,16025.512
1616,14450.655
1617,14793.577
1618,13450.224
1619,13788.899
1620,4656.8193
1621,6252.3687
1622,5833.7373
1623,5835.9146
1624,7213.7495
1625,7468.8813
1626,5783.416
1627,5500.8726
1628,6211.5063
1629,5057.6704
1630,5226.425
1631,5283.0625
1632,14410.422
1633,14680.69
1634,16302.963
1635,15097.409
1636,15772.374
1637,15735.524
1638,16282.435
1639,15219.309
1640,14990.72
1641,14817.538
1642,15497.173
1643,15819.49
1644,5626.999
1645,6405.9404
1646,6871.432
1647,6762.8516
1648,8148.262
1649,8597.913
1650,6405.583
1651,6059.5005
1652,6765.6504
1653,6175.781
1654,6255.0723
1655,5573.881
1656,15006.769
1657,14148.206
1658,15583.573
1659,14088.618
1660,16329.532
1661,14319.487
1662,15461.763
1663,13858.583
1664,14475.106
1665,15061.214
1666,14702.793
1667,15145.947
1668,4568.169
1669,5260.371
1670,4890.077
1671,6040.7563
1672,6529.564
1673,6969.0283
1674,5630.3716
1675,4402.569
1676,5369.8965
1677,5046.9473
1678,4676.5454
1679,5232.03
1680,14105.729
1681,13017.772
1682,13726.349
1683,14554.231
1684,15211.223
1685,13890.832
1686,15004.126
1687,13056.17
1688,12950.172
1689,14255.362
1690,12829.898
1691,14260.122
1692,2736.23
1693,3719.263
1694,3423.9678
1695,4625.229
1696,4482.636
1697,5014.4487
1698,3366.7998
1699,2940.1826
1700,3098.1082
1701,3257.1123
1702,2961.4124
1703,3125.4043
1704,12568.995
1705,14471.733
1706,15207.737
1707,13492.997
1708,14284.572
1709,15624.507
1710,15012.88
1711,15498.598
1712,15309.697
1713,12564.769
1714,13898.674
1715,14969.455
1716,4031.0703
1717,5276.909
1718,4807.468
1719,4300.2246
1720,6140.482
1721,6110.2583
1722,4510.246
1723,4551.1963
1724,4982.4595
1725,4307.837
1726,4112.688
1727,4266.5356
1728,15813.521
1729,14520.563
1730,15944.175
1731,16168.0625
1732,16647.572
1733,16724.703
1734,16829.281
1735,15966.837
1736,15688.437
1737,16237.464
1738,15193.061
1739,15612.684
1740,5534.648
1741,7262.513
1742,7092.231
1743,7458.6396
1744,7850.2124
1745,9610.075
1746,7374.4946
1747,7068.5396
1748,7533.059
1749,6151.3867
1750,6281.7686
1751,6612.7715
1752,14396.201
1753,14533.335
1754,15316.867
1755,12924.672
1756,15980.678
1757,14157.068
1758,14804.738
1759,15092.236
1760,14108.729
1761,14385.002
1762,13691.816
1763,13312.3125
1764,4256.917
1765,5302.784
1766,4883.2075
1767,5580.512
1768,6452.302
1769,7608.5874
1770,4915.1914
1771,5284.019
1772,5749.909
1773,4705.298
1774,4341.711
1775,4304.158
1776,12420.743
1777,13824.982
1778,13557.67
1779,14418.72
1780,14358.166
1781,14810.277
1782,13943.408
1783,14210.217
1784,12585.455
1785,13893.252
1786,12302.677
1787,12774.941
1788,2784.001
1789,4646.872
1790,4076.623
1791,4595.551
1792,4720.7876
1793,6433.328
1794,4056.3586
1795,4070.4543
1796,4202.049
1797,3433.7744
1798,3651.2178
1799,3589.0193
1800,14169.478
1801,15151.961
1802,15595.682
1803,14522.103
1804,15386.388
1805,15858.972
1806,16532.072
1807,15371.515
